"code","aliases","name","description","timezone","country","useAliases","excludeFromSearch","latitude","longitude","m2iorigin"
"YHZ","","Halifax, NS","","AST","",0,0,44.8808,-63.5086,0
"YOW","","Ottawa, ON","","EST","",0,0,45.3225,-75.6692,0
"YQB","","Quebec, QC","","EST","",0,0,46.7911,-71.3933,0
"YUL","YMQ YMX","Montreal Trudeau","","EST","CANADA",0,0,45.4706,-73.7408,0
"YUM","","Yuma, AZ","","MST","USA",0,0,32.6566,-114.606,0
"YVR","","Vancouver, BC","","PST","",0,0,49.1939,-123.184,0
"YWG","","Winnipeg, MB","","CST","",0,0,49.91,-97.2399,0
"YXE","","Saskatoon, SK","","CST","",0,0,52.1708,-106.7,0
"YYC","","Calgary, AB","","MST","",0,0,51.1139,-114.02,0
"YYJ","","Victoria, BC","","PST","",0,0,48.6469,-123.426,0
"YYZ","","Toronto, ON","","EST","Canada",0,0,43.6772,-79.6306,0
"ZIH","","Ixtapa","","MST","",0,0,0,0,0
"ZLO","PVR","Manzanillo - Playa de Oro","","PST","Mexico",0,0,0,0,0
